40,1,14,"ⲀⲌⲰⲢ ⲆⲈ ⲀϤϪⲪⲈ ⲤⲀⲆⲰⲔ ⲤⲀⲆⲰⲔ ⲆⲈ ⲀϤϪⲪⲈ ⲀⲬⲒⲚ ⲀⲬⲒⲚ ⲆⲈ ⲀϤϪⲪⲈ ⲈⲖⲒⲞⲨⲆ."
40,1,15,"ⲈⲖⲒⲞⲨⲆ ⲆⲈ ⲀϤϪⲪⲈ ⲈⲖⲈⲀⲌⲀⲢ ⲈⲖⲈⲀⲌⲀⲢ ⲆⲈ ⲀϤϪⲪⲈ ⲘⲀⲦⲐⲀⲚ ⲘⲀⲦⲐⲀⲚ ⲆⲈ ⲀϤϪⲪⲈ ⲒⲀⲔⲰⲂ."
40,1,16,"ⲒⲀⲔⲰⲂ ⲆⲈ ⲀϤϪⲪⲈ ⲒⲰⲤⲎⲪ ⲠϨⲀⲒ ⲘⲘⲀⲢⲒⲀ ⲐⲎ ⲈⲦⲀⲤⲘⲈⲤ ⲒⲎⲤⲞⲨⲤ ⲪⲎ ⲈⲦⲞⲨⲘⲞⲨϮ ⲈⲢⲞϤ ϪⲈ ⲠⲬⲢⲒⲤⲦⲞⲤ."
40,1,17,"ϪⲰⲞⲨ ⲚⲒⲂⲈⲚ ⲒⲤϪⲈⲚ ⲀⲂⲢⲀⲀⲘ ϢⲀ ⲆⲀⲨⲒⲆ ⲒⲆ ⲚϪⲰⲞⲨ ⲞⲨⲞϨ ⲒⲤϪⲈⲚ ⲆⲀⲨⲒⲆ ϢⲀ ⲠⲒⲞⲨⲰⲦⲈⲂ ⲈⲂⲞⲖ ⲚⲦⲈⲂⲀⲂⲨⲖⲰⲚ ⲒⲆ ⲚϪⲰⲞⲨ ⲞⲨⲞϨ ⲒⲤϪⲈⲚ ⲠⲒⲞⲨⲰⲦⲈⲂ ⲈⲂⲞⲖ ⲚⲦⲈⲂⲀⲂⲨⲖⲰⲚ ϢⲀ ⲠⲬⲢⲒⲤⲦⲞⲤ ⲒⲆ ⲚϪⲰⲞⲨ."
40,1,18,"ⲠϪⲒⲚⲘⲒⲤⲒ ⲚⲒⲎⲤⲞⲨⲤ ⲠⲬⲢⲒⲤⲦⲞⲤ ⲚⲈⲞⲨ ⲠⲀⲒⲢⲎϮ ⲈⲦⲀⲨⲰⲠ ⲚⲤⲀⲦⲈϤⲘⲀⲨ ⲘⲀⲢⲒⲀ ⲚⲒⲰⲤⲎⲪ ⲘⲠⲀⲦⲞⲨⲤⲞⲨⲈⲚ ⲚⲞⲨⲈⲢⲎⲞⲨ ⲀⲨϪⲈⲘⲤ ⲈⲤⲘⲂⲞⲔⲒ ⲈⲂⲞⲖ ϦⲈⲚⲞⲨⲠⲚⲈⲨⲘⲀⲈϤⲞⲨⲀⲂ."
40,1,19,"ⲒⲰⲤⲎⲪ ⲆⲈ ⲠⲈⲤϨⲀⲒ ⲚⲈⲞⲨⲐⲘⲎⲒ ⲠⲈ ⲞⲨⲞϨ ⲚϤⲞⲨⲰϢ ⲀⲚ ⲈⲀⲒⲤ ⲚⲤⲢⲀϨ ⲀϤⲤⲞϬⲚⲒ ⲈⲬⲀⲤ ⲈⲂⲞⲖ ⲚⲬⲰⲠ."
40,1,20,"ⲚⲀⲒ ⲆⲈ ⲈⲦⲀϤⲘⲞⲔⲘⲈⲔ ⲈⲢⲰⲞⲨ ϨⲎⲠⲠⲈ ⲒⲤ ⲞⲨⲀⲄⲄⲈⲖⲞⲤ ⲚⲦⲈⲠϬⲞⲒⲤ ⲀϤⲞⲨⲞⲚϨϤ ⲈⲒⲰⲤⲎ ⲪϦⲈⲚ ⲞⲨⲢⲀⲤⲞⲨⲒ ⲈϤϪⲰ ⲘⲘⲞⲤ ϪⲈ ⲒⲰⲤⲎⲪ ⲠϢⲎⲢⲒ ⲚⲆⲀⲨⲒⲆ ⲘⲠⲈⲢⲈⲢϨⲞϮ ⲈϢⲈⲠ ⲘⲀⲢⲒⲀ ⲦⲈⲔⲤϨⲒⲘⲒ ⲈⲢⲞⲔ ⲪⲎ ⲄⲀⲢ ⲈⲦⲈⲤⲚⲀⲘⲀⲤϤ ⲞⲨⲈⲂⲞⲖ ϦⲈⲚⲞⲨⲠⲚⲈⲨⲘⲀⲈϤⲞⲨⲀⲂ ⲠⲈ."
40,1,21,"ⲈⲤⲈⲘⲒⲤⲒ ⲆⲈ ⲚⲞⲨϢⲎⲢⲒ ⲈⲔⲈⲘⲞⲨϮ ⲈⲠⲈϤⲢⲀⲚ ϪⲈ ⲒⲎⲤⲞⲨⲤ ⲚⲐⲞϤ ⲄⲀⲢ ⲈⲐⲚⲀⲚⲞϨⲈⲘ ⲘⲠⲈϤⲖⲀⲞⲤ ⲈⲂⲞⲖ ϦⲈⲚⲚⲞⲨⲚⲞⲂⲒ."
40,1,22,"ⲪⲀⲒ ⲆⲈ ⲦⲎⲢϤ ⲀϤϢⲰⲠⲒ ϨⲒⲚⲀ ⲚⲦⲈϤϪⲰⲔ ⲈⲂⲞⲖ ⲚϪⲈⲪⲎ ⲈⲦⲀ ⲠϬⲞⲒⲤ ϪⲞϤ ⲈⲂⲞⲖ ϨⲒⲦⲞⲦϤ ⲘⲠⲒⲠⲢⲞⲪⲎⲦⲎⲤ ⲈϤϪⲰ ⲘⲘⲞⲤ."
40,1,23,"ϪⲈ ϨⲎⲠⲠⲈ ⲒⲤ ϮⲠⲀⲢⲐⲈⲚⲞⲤ ⲈⲤⲈⲈⲢⲂⲞⲔⲒ ⲞⲨⲞϨ ⲈⲤⲈⲘⲒⲤⲒ ⲚⲞⲨϢⲎⲢⲒ ⲈⲨⲈⲘⲞⲨϮ ⲈⲠⲈϤⲢⲀⲚ ϪⲈ ⲈⲘⲘⲀⲚⲞⲨⲎⲖ ⲪⲎ ⲈⲦⲈϢⲀⲨⲞⲨⲀϨⲘⲈϤ ϪⲈ ⲪⲚⲞⲨϮ ⲚⲈⲘⲀⲚ."
